अपने आप|आफै
वास्तु शास्त्र|वास्तुशास्त्र
हिरण|जरायो
मनुष्य|मानव शरीर
तत्वमीमांसा|तत्वज्ञान
क्रिस्टोफ़र कोलम्बस|क्रिस्टोफर कोलम्बस
हर्नान कोर्ते|हर्नान कोर्टस
फ़र्दिनान्द मैगलन|फर्डिनान्ड म्यागलन
योहान सेबास्तियन बाख़|योहान सेबास्तियन बाख
लिओनार्दो दा विंची|लेओनार्दो दा भिञ्ची
अल्फ़्रेद नोबेल|अल्फ्रेड नोबेल
रोज़ा लुक्सेम्बुर्ग|रोजा लुक्सम्बर्ग
ओटो फोन बिस्मार्क|ओट्टो बिस्मार्क
वेनिस|भेनिस
फ़्लोरेन्स नाइटिंगेल|फ्लोरेन्स नाइटिङ्गेल
जार्ज विल्हेम फ्रेडरिच हेगेल|जर्ज विल्हेम फ्रेडरिक् हिगल
चे ग्वेरा|चे ग्वेवारा
कुष्ठ|कुष्ठरोग
जोसेफ़ स्टालिन|स्टालिन
उंगली|औंला
टखना|कुर्कुच्चा
दक्षिणध्रुवीय महासागर|अन्टार्क्टिक महासागर
लॉस ऐन्जेलिस|लस एन्जलस
मंगोलिया|मङ्गोलिया
यमन|गणतन्त्र यमन
पनामा|पानामा
बुरुण्डी|बुरूण्डी
बारबाडोस|बार्बाडोस
कोस्टा रीका|कोस्टारिका
ग्वाटेमाला|ग्वातेमाला
निकारागुआ|निकाराग्वा
जार्ज हरिसन|जर्ज ह्यारिसन
मिलर्ड फिलमोर|मिल्लार्ड फिल्मोर
थांका चित्रकला|थान्का
होज़े सरमागो|होजे सारामागो
ऍचआइवी|एच आइ भी
अमेज़न नदी|अमेजन नदी
शंघाई|शाङ्घाई
सांस्कृतिक क्रांति|चीनको सांस्कृतिक क्रान्ति
बागमती प्रान्त|बागमती अञ्चल
कुमाऊँ विश्वविद्यालय|कुमाऊं विश्वविद्यालय
लैपटॉप|ल्याप्टप
बस्ती, उत्तर प्रदेश|बस्ती जिल्ला
एवरेस्ट पर्वत|सगरमाथा
अनार|दारिम
अफ़ीम की लड़ाई|अफीमको लड़ाइं
थॉमस ऐल्वा ऐडिसन|थोमस एल्वा एडिसन
कोहरा|कुहिरो
निकोला सार्कोज़ी|निकोला सार्कोजी
माता|आमा
कैम्ब्रिज विश्वविद्यालय|क्याम्ब्रिज विश्वविद्यालय
स्पाइडर मैन|स्पाइडर-म्यान
धौलाकोत|धौलाकोट
धुलिगाडा|धुलिगाड
दुरडांडा|दुरडाँडा
एक्तप्पा|एकतप्पा
पैसा|मुद्रा
एयारकोत|अयारकोट
धूमकेतु|लामपुछ्रे तारा
मंगल ग्रह|मंगलग्रह
ऐम्स्टर्डैम|आम्स्टर्डम
कोंस्कोवोला|कोन्स्कोभोला
डैनी डेन्जोंगपा|डेनी डेन्जोङ्पा
मुथैया मुरलीधरन|मुथ्थैया मुरलीधरन
ओज़ोन|ओजोन
जिमी वेल्स|जिम्मी वेल्स
खगोलशास्त्र|ज्योतिष
जलेबी|जेरी
मक्का|मकै
पञ्चतन्त्र|पंचतंत्र
मूँगफली|बदाम
आषाढ़|असार
हल्दी|बेसार
गुरू-पूर्णिमा|गुरु पूर्णिमा
नाग पंचमी|नागपञ्चमी
अरस्तु|अरस्तू
प्रशान्त तामांग|प्रशान्त तामाङ
अंतरिक्ष|अन्तरिक्ष
सायकिल|साईकल
गोरखा|गोर्खा
हेटौडा|हेटौंडा
गंडकी|गण्डकी
कीर्तिपुर|कीर्तिपुर नगरपालिका
नितीश कुमार|नीतिश कुमार
क्रीमिया का युद्ध|क्रीमियाको युद्ध
मकर संक्रान्ति|माघे सङ्क्रान्ति
पोखरा विश्वविधालय|पोखरा विश्वविद्यालय
बराक ओबामा|बाराक ओबामा
वोडाफोन एस्सार|भोडाफोन
वेलेन्टाइन दिवस|प्रणय दिवस
शालीग्राम|शालिग्राम
फाल्गुन|फागुन
फूल गोभी|काउली
विश्व धरोहर|युनेस्को विश्व सम्पदा क्षेत्र
नृसिंह|नृसिँह अवतार
दालचीनी|दालचिनी
राहुल गांधी|राहुल गान्धी
उबण्टू|उबुन्टु
कांसा|चरेस
जलयान|पानी जहाज
गिनीज़ वर्ल्ड रिकॉर्ड्स|गिनिजबुक
आनुवंशिकी|आनुवांशिकता
वैशाख|बैशाख
भाद्रपद|भाद्र
पौष|पुष
वेनेज़ुएला|भेनेजुएला
प्राणी|जनावर
नकदी फसल|नगदे वाली
रामबरन यादव|रामवरण यादव
योनि|योनी
कोसी|कोशी
गुण सूत्र|क्रोमोजोम
दूरभाष|टेलिफोन
विटामिन|भिटामिन
मधुमक्खी|मौरी
लंगड़ा आम|आँप
ग्रेगर जॉन मेंडल|ग्रेगर जोन मेन्डल
तितली|पुतली
मेंढक|भ्यागुतो
इन्द्रधनुष|इन्द्रेणी
मदार|आँक
टामस ऐल्वा एडिसन|थोमस एल्भा एडिसन
रेबीज़|रेबिज
लहसुन|लसुन
भग|योनी
स्त्री-रोग विज्ञान|महिलारोग शास्त्र
कटहल|कटहर
क्लाज़ एब्नेर|क्लाउस एब्नर
बड़ा दिन|क्रिसमस
अंचल|अञ्चल
संयुक्त अरब अमीरात|संयुक्त अरव इमिरेट्स
प्रमंडल|प्रमण्डल
राजस्थान के जिले|राजस्थानका जिल्लाहरु
जैव विविधता|जैविक विविधता
शॉर्ट मॅसेज सर्विस|सर्ट मेसेज सर्भिस
ईक्वाडोर|इक्वेडोर
नीदरलान्स आन्तिलन|नेदरल्याण्डस् एन्टिलस
नायाग्रा जल प्रपात|नायगरा फल्स
संगणक विज्ञान|कम्प्युटर विज्ञान
नेपाली व्यंजन|नेपाली व्यञ्जन
कालिंपोंग|कालिम्पोङ
प्रगतिशील सूरीनामी संघ|प्रगतिशील सुरिनामीहरूको संघ
सोयाबीन|भटमास
माधव कुमार नेपाल|माधवकुमार नेपाल
मॉना लिसा|मोना लिजा
गोर्खालैंड|गोर्खाल्याण्ड
कपिलवस्तु|बाणगंङ्गा
कोका कोला|कोका-कोला
वर्णांधता|रंग अन्धता
फ़ीफा विश्व कप|फुटबल विश्वकप
रॉकेट|रकेट
आग|आगो
टीटीकाका झील|टिटीकाका ताल
जिराफ़|जिराफ
एफ एम प्रसारण|एफएम
सिगरेट|चुरोट
गेंदा|सयपत्री
पर्व|चाड
चूना पत्थर|चुनढुङ्गा
सूखा|भोकमरी
दाल-भात|दालभात
शकरकन्द|सखरखण्ड
थामस जेफरसन|थोमस जेफर्सन
अंतर्राष्ट्रीय मुद्रा कोष|अन्तर्राष्ट्रीय आर्थिक कोष
मधेसी|मधेशी
डिम्बग्रंथि|डिम्बाशय
जॉन डाल्टन|जोन डाल्टन
गर्भनली|डिम्बबाहिनी नली
अंडकोष|अण्डकोष
रुमेटिक हृदय रोग|बाथज्वरो
डाक टिकट|हुलाक टिकट
नई दिल्ली|नयाँ दिल्ली
विकृतिविज्ञान|रोगशास्त्र
अपस्मार|छारे रोग
मांस|मासु
माचू पिच्चू|माचू पिचू
अलजाइमर रोग|अल्जाइमर
ऑपेरा वेब ब्राउज़र|ओपेरा वेब ब्राउजर
विकिलीक्स|विकिलिक्स
मई दिवस|मे दिवस
फिजियोथिरैपी|फिजियोथेरापी
भास्कर प्रथम|भास्कर
क्रिस्टियानो रोनाल्डो|क्रिष्टियानो रोनाल्डो
राष्ट्रगीत|राष्ट्रगान
राजसिंहासन|गडी
डेमी मूर|डेमी मुर
अंधविश्वास|अन्धविश्वास
बैरीमोर|ब्यारिमोर
बच्छनाभ|विष
लंगूर|लंगुर
असिक्रीड़ा|तरवारबाजी
ज़ुकेरबर्ग|जुकरवर्ग
गिलगित-बाल्तिस्तान|गिल्गित-बाल्तिस्तान
महाश्येन|चील
कठ उपनिषद्|कठोपनिषद्
एना कोर्निकोवा|अन्ना कोर्निकोभा
विधवा|राँडो
बाल्तोरो मुज़ताग़|बाल्तोरो मुज्ताघ
भानुभक्त|भानुभक्त आचार्य
हरिवंश पर्व|हरिवंश पुराण
डिएगो माराडोना|डिएगो म्याराडोना
स्मार्त सूत्र|कल्प (वेदांग)
महासंगणक|सुपर कम्प्युटर
प्रेमेजुङ|प्रेमेजुङ्ग
यवसुरा|बियर
दशरथ रंगशाला स्टेडियम|दशरथ रंगशाला
मुक्केबाज़ी|मुक्केबाजी
कालीन|गलैँचा
बगुला|बकुल्लो
शियार|स्याल
अरीठा|रिठ्ठो
भृङ्गराज|भृङ्गीराज
हिम तेन्दुआ|हिउँ चितुवा
लकड़बग्घा|हुँडार
हिमालयी मोनाल|डाँफे
गाँव|गाउँ
कृंतक|लोखर्के
दौडा सुरूवाल|दौरा सुरूवाल
रोग हेतुविज्ञान|रोग हेतु विज्ञान
जूलियन असांजे|जुलियन असान्ज
आँवला|अमला
विन्डोज़|विन्डोज
भैसा|भैँसी
आंत में उपांत्र शोथ-एपेंडिसाइटिस|एपेन्डिसाइटिस
अपामार्ग|दतिवन
त्वचाविज्ञान|डर्‍म्याटोलोजी
आर्द्रभूमि|सिमसार
ईशावास्य उपनिषद्|ईशा उपनिषद्
लाउडस्पीकर|लाउड स्पीकर
स्थल-रुद्ध देश|भूपरिवेष्ठित राष्ट्र
दांदेली|डन्डेलि
औषधीय मिट्टी|औषधीय माटो
पेंटियम|पेन्टियम
ऑर्थ्रोस्कोपी|आर्थ्रोस्कोपी
मैक्एफ़ी|मेक्एफी
माइक्रोकंप्यूटर|मेनफ्रेम कम्प्युटर
जेम्स प्रेस्कॉट जूल|जेम्स प्रेस्कट जुल
दंत|दन्त
एडिडास|एडिडास
कैथोलिक गिरजाघर|रोमन क्याथोलिक चर्च
नाभि|नाइटो
वोरार्लबर्ग|भोरालबर्ग
साही|दुम्सी
बारह सिंगा|बाह्र सिङ्गे
जलसम्भर|जलाधार
ऑस्कर|ओस्कार
भेड़िया|ब्वाँसो
जॉन ऐडम्स|जोन एडाम्स
बहेड़ा|बर्रो
इलायची|सुकमेल
स्याही|मसी
शाप|श्राप
छुआरा|छोकरा
चुकंदर|सकरखण्ड
अंजीर|नेभारो
गन्ना|उखु
आक्सीजन|अक्सिजन
रस्सी|डोरी
सूरज|सूर्य
खुदाई|उत्खनन
धोटाले|धोटाला
ऑस्ट्रिया|अस्ट्रिया
वियना|भियना
राख|खरानी
जूते|जूता
गैरमौजूदगी|अनुपस्थिति
ग़ैरमौज़ूदग़ी|अनुपस्थिति
आंदोलन|आन्दोलन
खगोलविद|खगोलविद
माओवादि|माओवादि
भैस|भैसी
विषाणु|विषाणु
टाँग|खुट्टा
चावल|चामल
सेहत|स्वास्थ्य
मकडी|माकुरो 
नारंगी|सुन्तला 
गवर्नर|गभर्नर
स्तंभ|स्तम्भ
कुल्हाड़ी|बन्चरो
लस्सी|मोही
परत|पत्र
पड़ोसी|छिमेकी
प्रबंधक|प्रबन्धक
